# 新着プール 87件（id | 公演名 | 会場 | 県 | 公演日 | ぴあURL）
5020 | 熱闘甲子園 presents 熱闘JAM 2026 | GLION ARENA KOBE | 兵庫 | 2026-09-23 | https://t.pia.jp/pia/event/event.do?eventCd=2632251
5021 | 花澤香菜 | KT Zepp Yokohama | 神奈川 | 2026-09-12 | https://t.pia.jp/pia/event/event.do?eventCd=2616879
5022 | Hello Sleepwalkers | ell.SIZE | 愛知 | 2026-09-22 | https://t.pia.jp/pia/event/event.do?eventCd=2630601
5023 | Hello Sleepwalkers | 全国ツアー（Spotify O-nest／LIVE HOUSE OP’s／桜坂セントラル） | 東京・福岡・沖縄 | 2026-10-11 | https://t.pia.jp/pia/event/event.do?eventCd=2631427
5024 | MADRA | Zepp Shinjuku（TOKYO） | 東京 | 2026-09-18 | https://t.pia.jp/pia/event/event.do?eventCd=2622157
5025 | 水谷千重子の宴ジョインコンサート2026 | 東京ガーデンシアター | 東京 | 2026-08-27 | https://t.pia.jp/pia/event/event.do?eventBundleCd=b2667488
5027 | OSAKA COMEDY FESTIVAL 2026 | 心斎橋PARCO 14F SPACE14 | 大阪 | 2026-10-11 | https://t.pia.jp/pia/event/event.do?eventCd=2633110
5028 | 「愛し合ってるかい? 忌野清志郎が教えてくれた」最速プレミア上映 | 新宿バルト9 | 東京 | 2026-08-26 | https://t.pia.jp/pia/event/event.do?eventCd=2630812
5029 | 映画『私はあなたを知らない、』初日舞台挨拶 | 新宿ピカデリー | 東京 | 2026-08-28 | https://t.pia.jp/pia/event/event.do?eventCd=2631446
5030 | 『縁の手紙』完成披露上映会 | グランドシネマサンシャイン 池袋 | 東京 | 2026-09-04 | https://t.pia.jp/pia/event/event.do?eventCd=2631151
5031 | TVアニメ『超巡!超条先輩』キャスト舞台挨拶付き先行上映会 | ユナイテッド・シネマ アクアシティお台場 | 東京 | 2026-09-08 | https://t.pia.jp/pia/event/event.do?eventCd=2630427
