OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=1904 | 劇団かもめんたる 第16回公演『ピノキオの元カノ』 | 劇団かもめんたる 第16回公演『ピノキオの元カノ』 | date=2026-08-23 | 締切=2026-08-16,2026-10-04 | 枠2(売切0) | pia | 公演終了(2026-08-23)なのに 締切が今日以降の枠あり ＝データ矛盾

--- B の枠明細 ---
id=1006 神戸新開地・喜楽館 8月【朝席・夜席】
id=1904 劇団かもめんたる 第16回公演『ピノキオの元カノ』

========== C. 公演日は未来だが買える枠ゼロ（除外条件3で削除せず・要相談）: 113 件 ==========
id=835 | THE MICRO HEAD 4N'S | THE MICRO HEAD 4N'S | date=2026-08-24 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=862 | Ｅｎｆｉｎｉ／Ｍｉｋｅｙ／宮田大樹／梶有紀子／京都マリシー／菊田雪心 | Ｅｎｆｉｎｉ／Ｍｉｋｅｙ／宮田大樹／梶有紀子／京都マリシー／菊田雪心 | date=2026-08-24 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=979 | ROLL((CAKE))TIME | ROLL((CAKE))TIME | date=2026-08-24 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=1138 | トム・プロジェクト プロデュース 「沼の中の淑女たち」 | トム・プロジェクト プロデュース 「沼の中の淑女たち」 | date=2026-08-24 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=1224 | リルキア ロックフェスティバル | リルキア ロックフェスティバル | date=2026-08-24 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=2086 | 【パンキッシュガーデン】エクストラシルバー | 【パンキッシュガーデン】エクストラシルバー | date=2026-08-24 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=2809 | 第26回 全日本新体操クラブ団体選手権 | 第26回 全日本新体操クラブ団体選手権 | date=2026-08-24 | 締切=2026-08-14 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-14)
id=2927 | すいているのに相席～朗読版～ | すいているのに相席～朗読版～ | date=2026-08-24 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-24 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=1242 | 仙台貨物 | 仙台貨物 | date=2026-08-25 | 締切=2026-08-06,2026-08-20 | 枠2(売切0) | pia | 公演日 2026-08-25 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=4026 | idntt | idntt | date=2026-08-25 | 締切=2026-08-17 | 枠1(売切0) | pia | 公演日 2026-08-25 は未来だが買える枠ゼロ(最終締切 2026-08-17)
id=4069 | 奥田民生 | 奥田民生 | date=2026-08-25 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-25 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=504 | 池田綾子 | 池田綾子 2026 | date=2026-08-26 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=924 | 松尾雄史／二見颯一／原田波人 | 若手人気スター歌謡ショー 2026・夏 | date=2026-08-26 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=1040 | 三谷文楽『人形ぎらい』 | 三谷文楽『人形ぎらい』 | date=2026-08-26 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=1137 | よしもと ド夏笑い（どかわらい）３ＤＡＹＳ ｉｎ 神戸２０２６ | よしもと ド夏笑い（どかわらい）３ＤＡＹＳ ｉｎ 神戸２０２６ | date=2026-08-26 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=1956 | 歌舞伎座 八月納涼歌舞伎 | 歌舞伎座 八月納涼歌舞伎 | date=2026-08-26 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=5028 | 「愛し合ってるかい? 忌野清志郎が教えてくれた」最速プレミア上映 | 「愛し合ってるかい? 忌野清志郎が教えてくれた」最速プレミア上映 | date=2026-08-26 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-26 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=4133 | Age Factory／ENTH／Paledusk | Age Factory／ENTH／Paledusk | date=2026-08-27 | 締切=2026-08-13,2026-08-18 | 枠2(売切0) | pia | 公演日 2026-08-27 は未来だが買える枠ゼロ(最終締切 2026-08-18)
id=4134 | BEEEEM FES Vol.7 | BEEEEM FES Vol.7 | date=2026-08-27 | 締切=2026-08-12 | 枠1(売切0) | pia | 公演日 2026-08-27 は未来だが買える枠ゼロ(最終締切 2026-08-12)
id=2004 | 国立能楽堂 8月企画公演 | 国立能楽堂 8月企画公演 | date=2026-08-28 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-28 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=2616 | 8月国立演芸場寄席（24日～28日） | 8月国立演芸場寄席（24日～28日） | date=2026-08-28 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-28 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=3899 | MISIA | MISIA | date=2026-08-28 | 締切=2026-08-15 | 枠1(売切0) | pia | 公演日 2026-08-28 は未来だが買える枠ゼロ(最終締切 2026-08-15)
id=5029 | 映画『私はあなたを知らない、』初日舞台挨拶 | 映画『私はあなたを知らない、』初日舞台挨拶 | date=2026-08-28 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-28 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=673 | THE BACK HORN | THE BACK HORN 2026 | date=2026-08-29 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-29 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=1344 | THE GREATEST ROCK FUKUOKA | THE GREATEST ROCK FUKUOKA | date=2026-08-29 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-29 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=3463 | 東京ディズニーシー(R)25周年“スパークリング・ジュビリー”イン・コンサート | 東京ディズニーシー(R)25周年“スパークリング・ジュビリー”イン・コンサート | date=2026-08-29 | 締切=2026-08-14,2026-08-19 | 枠2(売切0) | pia | 公演日 2026-08-29 は未来だが買える枠ゼロ(最終締切 2026-08-19)
id=5032 | 『ナギダイアリー』ジャパンプレミア | 『ナギダイアリー』ジャパンプレミア | date=2026-08-29 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-08-29 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=179 | ナジャ・グランディーバ | ナジャ・グランディーバとおしゃれな仲間たち | date=2026-08-30 | 締切=2026-07-19,2026-08-16 | 枠2(売切0) | pia | 公演日 2026-08-30 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=533 | ＧＡＬＮＥＲＹＵＳ | ＧＡＬＮＥＲＹＵＳ 2026 | date=2026-08-30 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-30 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=1783 | 0歳児からのコンサート | 0歳児からのコンサート | date=2026-08-30 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-08-30 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=1944 | 第5回 ザハール・ブロン ヴァイオリン・マスタークラスin宗次ホール 聴講券 | 第5回 ザハール・ブロン ヴァイオリン・マスタークラスin宗次ホール 聴講券 | date=2026-08-30 | 締切=2026-08-16 | 枠1(売切0) | pia | 公演日 2026-08-30 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=2265 | 原田知世 | 原田知世 | date=2026-08-31 | 締切=2026-08-20 | 枠2(売切0) | pia | 公演日 2026-08-31 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=4140 | 風見和香 | 風見和香 | date=2026-08-31 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-08-31 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=2866 | The BONEZ／SHADOWS | The BONEZ／SHADOWS | date=2026-09-03 | 締切=なし | 枠0(売切0) | pia | 公演日 2026-09-03 は未来だが買える枠ゼロ(最終締切 枠なし)
id=5030 | 『縁の手紙』完成披露上映会 | 『縁の手紙』完成披露上映会 | date=2026-09-04 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-09-04 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=3120 | シャイトープ | シャイトープ | date=2026-09-05 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-09-05 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=4015 | 田村ゆかり | 田村ゆかり | date=2026-09-05 | 締切=2026-08-16 | 枠1(売切0) | pia | 公演日 2026-09-05 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=631 | OKINAWAFES Milafete エスコンフィールドHOKKAIDO | OKINAWAFES Milafete エスコンフィールドHOKKAIDO 2026 | date=2026-09-06 | 締切=2026-08-18 | 枠1(売切0) | pia | 公演日 2026-09-06 は未来だが買える枠ゼロ(最終締切 2026-08-18)
id=4145 | 須田景凪 | 須田景凪 | date=2026-09-06 | 締切=2026-08-16 | 枠1(売切0) | pia | 公演日 2026-09-06 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=4346 | 「試し卸し叩き」 | 「試し卸し叩き」 | date=2026-09-06 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-09-06 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=5031 | TVアニメ『超巡!超条先輩』キャスト舞台挨拶付き先行上映会 | TVアニメ『超巡!超条先輩』キャスト舞台挨拶付き先行上映会 | date=2026-09-08 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-09-08 は未来だが買える枠ゼロ(最終締切 2026-08-22)
