142. ＴＲＵＳＴ ＲＥＣＯＲＤＳ ｐｒｅｓｅｎｔｓ．ＰＵＮＫ ＩＮ Ｓ | 発売2026/7/4 | 公演2026/8/28(金) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2610407
143. ｔｏｅ | 発売2026/6/13 | 公演2026/10/4(日) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2620618
144. ＴＡＬＫ＆ＬＩＶＥ ザ・ゴールデンステージ ｐｒｏｄｕｃｅｄ ｂ | 発売2026/6/13 | 公演2026/8/27(木) | 長崎県 | https://ticket.pia.jp/pia/event.do?eventCd=2623482
145. ＴＡＬＫ＆ＬＩＶＥ ザ・ゴールデンステージ ｐｒｏｄｕｃｅｄ ｂ | 発売2026/6/13 | 公演2026/9/30(水) | 長崎県 | https://ticket.pia.jp/pia/event.do?eventCd=2623483
146. ＴＡＬＫ＆ＬＩＶＥ ザ・ゴールデンステージ ｐｒｏｄｕｃｅｄ ｂ | 発売2026/6/13 | 公演2026/10/31(土) | 長崎県 | https://ticket.pia.jp/pia/event.do?eventCd=2623484
147. 怒髪天 | 発売? | 公演2026/11/21(土) | 宮城県 | https://ticket.pia.jp/pia/event.do?eventCd=2614216
148. 怒髪天 | 発売2026/6/27 | 公演2026/10/17(土) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2614219
149. 怒髪天 | 発売2026/6/27 | 公演2026/10/20(火) | 愛知県 | https://ticket.pia.jp/pia/event.do?eventCd=2614332
150. ＤＲＵＭ ＴＡＯ | 発売2026/6/13 | 公演2026/9/13(日) | 大分県 | https://ticket.pia.jp/pia/event.do?eventCd=2622492
151. ドリアン・ロロブリジーダ | 発売? | 公演2026/10/24(土) | 大阪府 | https://ticket.pia.jp/pia/event.do?eventCd=2622018
152. ドンアルマス | 発売2026/6/26 | 公演2026/9/19(土) | 茨城県 | https://ticket.pia.jp/pia/event.do?eventCd=2621110
153. 中村耕一+JAYWALK | 発売2026/6/13 | 公演2026/9/21(月・祝) | 東京都 | https://ticket.pia.jp/pia/event.do?eventBundleCd=b2666369
154. 中村耕一＋ＪＡＹＷＡＬＫ | 発売2026/6/20 | 公演2026/9/20(日) | 宮城県 | https://ticket.pia.jp/pia/event.do?eventCd=2619580
155. 中村美律子 | 発売2026/6/26 | 公演2026/10/14(水) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2620621
156. 永井龍雲 | 発売2026/6/20 | 公演2026/9/19(土) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2617396
157. 永井龍雲 | 発売2026/6/20 | 公演2026/9/20(日) | 福岡県 | https://ticket.pia.jp/pia/event.do?eventCd=2617397
158. Ｎａｇａｋｕｍｏ | 発売2026/7/4 | 公演2026/9/26(土) | 東京都 | https://ticket.pia.jp/pia/event.do?eventCd=2620318
