
======================================================================
■ 2026-09-05(土) 発売開始 … 285枠 / 22ジャンル
======================================================================

【J-POP】145件
  10:00 劇団四季「オペラ座の怪人」1月／名古屋／愛知  #4625
  10:00 劇団四季「オペラ座の怪人」2月／名古屋／愛知  #4626
  10:00 劇団四季「オペラ座の怪人」3月／名古屋／愛知  #4627

【ジャズ】4件
  10:00 ピアノ 大西順子／兵庫県  #6199
  10:00 小曽根 真／大西順子／北村英治／類家心平／広瀬未来／アロージャズオーケストラ／兵庫  #4178
  10:00 石若駿 3DAYS／東京  #5206
  10:00 菊地成孔 ピアノ・トリオ／東京  #5207

【学園祭】4件
  10:00 岩瀬洋志／東京都  #6215
  10:00 川崎学園祭 お笑いライブ!!／岡山  #6103
  10:00 石川界人／東京都  #6214
  18:00 久保ユリカ／長野県  #6213

【伝統】2件
  10:00 横須賀芸術劇場リニューアル記念 よこすか能 観世喜正プロデュース 蝋燭能『江／神奈川  #6419
  10:00 邦楽と舞踊の会 日本美の極み、響き合う――／石川  #4830

【キッズ】1件
  10:00 プリキュア／石川  #450

【ロック】1件
  11:00 TOMOVSKY／東京  #695

【声優】1件
  10:00 ボイスシネマ声優口演ライブ2026 in 大阪・新歌舞伎座／大阪  #3992

【talkshow】1件
  10:00 Remember KINTETSU Buffaloes 2026／大阪  #6442

======================================================================
■ 2026-09-07(月) 発売開始 … 25枠 / 10ジャンル
======================================================================

【J-POP】7件
  10:00 log you／東京  #6025
  10:00 めろめろぱんちRound17／山形県  #6041
  11:00 chilldspot／北海道（先行）  #5718
  12:00 esq／岡山・広島（先行）  #4173
  12:00 wacci／広島（先行）  #2538
  12:00 古内東子／広島（先行）  #3732
  12:00 山本彩／広島（先行）  #5162

【クラシック】5件
  10:00 仲道郁代 ベートーヴェンの宇宙第5回～不滅の恋人へ／岐阜  #5684
  10:00 川村章仁・今井俊輔 二人のバリトンコンサート Vol.19／東京  #3996
  10:00 横山幸雄×群馬交響楽団～弾き振りで挑むショパン&ラフマニノフ／群馬  #6036
  10:00 武満徹没後30年「ASOBIBA TAKEMITSU」～まだ知らない、武満徹／東京  #6601
  11:00 東京シティ・フィルハーモニック管弦楽団 ニューイヤーコンサート2027／東京  #5064

【お笑い】3件
  10:00 七代目三遊亭円楽独演会／神奈川  #6125
  10:00 三遊亭鬼丸 落語会／埼玉  #6027
  18:00 「第20回SMAホープ大賞～決勝～」／東京（先行）  #5697

【音楽そのほか】2件
  10:00 DJ OSSHY produce シルバーディスコ／東京  #5205
  14:00 「名車 6300系本線復活!!～懐かしの特急 往年の道を行く～」／大阪（先行）  #5724

【スポーツ】2件
  11:00 東京ヤクルトスワローズ対ハヤテベンチャーズ静岡 ファーム・リーグ公式戦／埼玉  #6321
  12:00 STARDOM in SAGAE 2026 Oct.／山形  #5589

【ファンイベント】2件
