=== e+ 発売前スイープのまとめ（2026-09-21）===
  anime-song            3件
  classic               0件
  enka                  7件
  hiphop-rap            2件
  idol                 11件
  jazz-fusion          10件
  k-pop-asian           0件
  rock-indies          52件
  visual              161件

ユニーク（登録済みを外した）= 237件

  4595980001 | 2027/2/1(月)  | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  4590260001 | 2027/2/10(水) | jazz-fusion          | 先着 トリオ･リベルタ･バレンタインコンサート
  4569190001 | 2027/2/13(土) | visual               | 先着 NICOLAS ONEMAN TOUR 2026-2027 「TABOO」
  4599790001 | 2027/2/14(日) | enka                 | 抽選 島津亜矢 島津亜矢 コンサートツアー2027
  4604220001 | 2027/2/14(日) | enka                 | 先着 杜このみ&彩青
  4586380001 | 2027/2/17(水) | visual               | 抽選 BLAZE東名阪単独救難行脚 「流転」
  4586660001 | 2027/2/17(水) | visual               | 先着 [布教チケット]BLAZE東名阪単独救難行脚 「流転」
  4051640001 | 2027/2/18(木) | enka                 | 抽選 三山ひろし 【14:00公演】
  4580410001 | 2027/2/18(木) | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  4586530001 | 2027/2/18(木) | visual               | 先着 東名阪単独救難行脚「流転」
  4587290001 | 2027/2/18(木) | visual               | 先着 東名阪単独救難行脚「流転」[布教チケット]
  4580680001 | 2027/2/19(金) | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  4597420001 | 2027/2/2(火)  | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  4597910001 | 2027/2/21(日) | visual               | 先着 「俺たちがHEROです。」
  4579760001 | 2027/2/4(木)  | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  4579340001 | 2027/2/5(金)  | visual               | 先着 DAMNED ONEMAN TOUR2026～2027『Cure』
  2083720001 | 2027/2/6(土)  | visual               | 抽選 有村竜太朗 有村竜太朗 TOUR 2026-2027「デも/demo #3」
  4597900001 | 2027/2/7(日)  | visual               | 先着 「俺たちがHEROです。」
  4596000001 | 2027/2/8(月)  | visual               | 先着 DazzlingBAD ONEMANTOUR 「SIXTH SENSE」
  4597930001 | 2027/3/14(日) | visual               | 先着 「俺たちがHEROです。」
  4597620001 | 2027/3/19(金) | visual               | 抽選 【通常チケット】特別単独公演「BLAZE」
  4597650001 | 2027/3/19(金) | visual               | 先着 【布教チケット】特別単独公演「BLAZE」
  4597950001 | 2027/3/20(土) | visual               | 先着 「俺たちがHEROです。」
  3681710001 | 2027/3/22(月・祝) | enka                 | 抽選 青山新
  4597960001 | 2027/3/22(月・祝) | visual               | 先着 「俺たちがHEROです。」
  4273270001 | 2027/3/27(土) | enka                 | 先着 羽山みずき
  4580790001 | 2027/3/7(日)  | visual               | 抽選 DAMNED DAMNEDAMNED ONEMAN TOUR2026～2027『Cur
  4597980001 | 2027/4/11(日) | visual               | 先着 「俺たちがHEROです。」
  4598670001 | 2027/4/25(日) | visual               | 先着 「俺たちがHEROです。」
  4598690001 | 2027/5/16(日) | visual               | 先着 「俺たちがHEROです。」
  4598680001 | 2027/5/8(土)  | visual               | 先着 「俺たちがHEROです。」
  4598710001 | 2027/6/6(日)  | visual               | 先着 「俺たちがHEROです。」
